#;FORM;LEMMA;GRAM;COMMENT;CHECKED;RIGHT1;RIGHT2;RIGHT3;RIGHT4;RIGHT5;RIGHT6;POS;AUTO_LEMMA;AUTO_GRAM
#doc=About_everything.2.txt;;;;;;;;;;;;;;
1;@;@;PUNC;;;;;;;;;PUNC;@;PUNC
2;Алёна;АЛЕНА;persn;;;а;н;ё;л;а;;S;АЛЕНА;S f anim nom sg
3;Я;Я;SPRO sg 1p - nom;;;я;;;;;;S;Я;S - - nonflex nonflex
4;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
5;вот;ВОТ;PART;;;т;о;в;;;;PART;ВОТ;PART
6;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
7;сначала;СНАЧАЛА;ADV -;;;а;л;а;ч;а;н;ADV;СНАЧАЛА;ADV -
8;хотела;ХОТЕТЬ;V ipf praet sg indic f -;;;а;л;е;т;о;х;V;ХОТЕТЬ;V ipf praet sg indic f -
9;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
10;lt;LT;NONLEX;;;;;;;;;NONLEX;LT;NONLEX
11;";";";";PUNC;;;;;;;;;PUNC;";";PUNC
12;distinct;DISTINCT;NONLEX;;;;;;;;;NONLEX;DISTINCT;NONLEX
13;form;FORM;NONLEX;;;;;;;;;NONLEX;FORM;NONLEX
14;=;=;PUNC;;;;;;;;;PUNC;=;PUNC
15;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
16;quot;QUOT;NONLEX;;;;;;;;;NONLEX;QUOT;NONLEX
17;";";";";PUNC;;;;;;;;;PUNC;";";PUNC
18;те;ТЫ;SPRO sg 2p - nom;distort ;;е;т;;;;;A;ТОТ;A - nom pl plen - -
19;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
20;quot;QUOT;NONLEX;;;;;;;;;NONLEX;QUOT;NONLEX
21;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
2;gt;GT;NONLEX;;;;;;;;;NONLEX;GT;NONLEX
3;";";";";PUNC;;;;;;;;;PUNC;";";PUNC
4;тебе;ТЫ;SPRO sg 2p - dat;;;е;б;е;т;;;SPRO;ТЫ;SPRO sg 2p - loc
5;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
6;lt;LT;NONLEX;;;;;;;;;NONLEX;LT;NONLEX
7;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;/;/;PUNC;;;;;;;;;PUNC;/;PUNC
2;distinct;DISTINCT;NONLEX;;;;;;;;;NONLEX;DISTINCT;NONLEX
3;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
4;gt;GT;NONLEX;;;;;;;;;NONLEX;GT;NONLEX
5;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;рассказать;РАССКАЗАТЬ;V pf - - inf - -;;;ь;т;а;з;а;к;V;РАССКАЗАТЬ;V pf - - inf - -
2;про;ПРО;PR;;;о;р;п;;;;PR;ПРО;PR
3;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
4;lt;LT;NONLEX;;;;;;;;;NONLEX;LT;NONLEX
5;";";";";PUNC;;;;;;;;;PUNC;";";PUNC
6;distinct;DISTINCT;NONLEX;;;;;;;;;NONLEX;DISTINCT;NONLEX
7;form;FORM;NONLEX;;;;;;;;;NONLEX;FORM;NONLEX
8;=;=;PUNC;;;;;;;;;PUNC;=;PUNC
9;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
10;quot;QUOT;NONLEX;;;;;;;;;NONLEX;QUOT;NONLEX
11;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;обжшника;ОБЖШНИК;S m anim gen sg;;;а;к;и;н;ш;ж;S;ОБЖШНИК;S m anim acc sg
2;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
3;quot;QUOT;NONLEX;;;;;;;;;NONLEX;QUOT;NONLEX
4;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
2;gt;GT;NONLEX;;;;;;;;;NONLEX;GT;NONLEX
3;";";";";PUNC;;;;;;;;;PUNC;";";PUNC
4;учителя;УЧИТЕЛЬ;S m anim gen sg;;;я;л;е;т;и;ч;S;УЧИТЕЛЬ;S m anim gen sg
5;по;ПО;PR;;;о;п;;;;;PR;ПО;PR
6;ОБЖ;ОБЖ;S - inan dat nonflex;;;ж;б;о;;;;S;ОБЖ;S - inan nonflex nonflex
7;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
8;lt;LT;NONLEX;;;;;;;;;NONLEX;LT;NONLEX
9;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;/;/;PUNC;;;;;;;;;PUNC;/;PUNC
2;distinct;DISTINCT;NONLEX;;;;;;;;;NONLEX;DISTINCT;NONLEX
3;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
4;gt;GT;NONLEX;;;;;;;;;NONLEX;GT;NONLEX
5;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
2;а;А;PART;;;а;;;;;;PART;А;PART
3;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
4;lt;LT;NONLEX;;;;;;;;;NONLEX;LT;NONLEX
5;";";";";PUNC;;;;;;;;;PUNC;";";PUNC
6;distinct;DISTINCT;NONLEX;;;;;;;;;NONLEX;DISTINCT;NONLEX
7;form;FORM;NONLEX;iuhg;;;;;;;;NONLEX;FORM;NONLEX
